Ranking,Player,Birth,Age,Bloodtype,2023_Prize,Average number of hit,Average Drive ,Average Putting,Average number of birdie,Green Hit Rate,Par Save Rate,Par break Rate,Recovery Rate,Total Win,Major Win,2023_Win
69,김서윤2,2002,22,A,"33,324,334 ",73.5,237.33,31.25,13.1944,68.9815,80.3241,13.1944,53.7313,0,0,0
70,김민선7,2003,21,A,"32,645,000 ",73.1579,240.43,32.0526,12.8655,75.4386,83.0409,12.8655,57.1429,0,0,0
71,하민송,1996,28,B,"32,460,000 ",73.2857,245.01,31.4286,13.4921,69.3122,82.0106,13.4921,58.6207,1,0,0
72,김아현,1995,29,B,"31,645,000 ",74.1739,231.18,30.7826,14.9758,61.8357,76.3285,14.9758,55.6962,0,0,0
73,강채연,2003,21,A,"31,626,000 ",73.4118,238.51,29.0588,16.6667,61.1111,78.4314,16.6667,54.6218,0,0,0
74,최민경,1993,31,A,"31,123,463 ",73.2273,231.43,30.6364,12.8788,66.4141,81.5657,12.8788,59.3985,0,0,0
75,최가빈,2003,21,O,"30,608,223 ",73.9565,246.35,30.7391,14.9758,64.4928,78.9855,14.9758,56.4626,0,0,0
76,최혜진,1999,25,O,"30,048,223 ",70,242.71,31.4,21.1111,86.6667,90,21.1111,50,8,1,0
77,정연주,1992,32,A,"29,168,182 ",73.2222,225.16,29.1111,13.2716,58.9506,81.1728,13.5802,62.406,1,1,0
78,박주영,1990,34,O,"28,215,000 ",73.7619,237.47,30.3333,11.3757,61.6402,79.6296,11.6402,60.6897,0,0,0
79,황예나,1993,31,O,"27,870,000 ",73.4286,227.77,30.4286,12.1693,63.2275,81.4815,12.1693,58.9928,0,0,0
80,정슬기,1995,29,O,"26,681,667 ",74.1,234.3,31.65,10.8333,69.1667,80.5556,10.8333,55.8559,1,0,0
81,김윤교,1996,28,A,"26,470,000 ",73.4783,225.87,31.6522,14.0097,68.8406,79.2271,14.0097,55.0388,0,0,0
82,한지원,2001,23,O,"26,195,000 ",73.6364,247.4,31.6818,10.8586,69.1919,81.0606,10.8586,59.8361,0,0,0
83,김소이,1994,30,O,"25,612,000 ",73,226.07,30.7273,12.1212,68.1818,83.8384,12.1212,59.5238,0,0,0
84,이지현7,2002,22,O,"23,715,000 ",73.5263,247.18,31.3684,15.2047,69.5906,79.8246,15.2047,50,0,0,0
85,홍진영2,2000,24,B,"22,682,000 ",73.8889,232.28,30.8333,12.6543,64.5062,79.9383,12.6543,56.5217,0,0,0
86,정소이,2002,22,AB,"22,410,000 ",74.8182,248.76,32.5909,12.1212,68.4343,73.9899,12.6263,45.6,0,0,0
87,배수연,2000,24,AB,"22,272,538 ",74.85,237.3,30.55,11.1111,59.4444,76.9444,11.1111,54.7945,0,0,0
88,박채윤,1994,30,A,"22,054,331 ",74.65,239.03,31.45,11.9444,65.8333,76.9444,11.9444,48.7805,2,1,0
89,장은수,1998,26,B,"21,005,000 ",73.0556,232.03,29.0556,16.358,60.1852,79.9383,16.358,56.5891,0,0,0
90,김리안,1999,25,B,"20,135,000 ",74.3182,225.49,30.2727,10.3535,60.3535,79.2929,10.3535,53.5032,0,0,0
91,박도은,1998,26,A,"19,050,000 ",73.3636,234.07,29.9545,14.6465,61.8687,79.798,14.6465,55.6291,0,0,0
92,유효주,1997,27,O,"17,834,042 ",73.7222,243.75,31,12.037,65.7407,80.2469,12.037,58.5586,1,0,0
93,김유빈,1998,26,AB,"17,605,000 ",73.7647,242.41,31.5882,13.7255,69.6078,79.7386,13.7255,52.6882,0,0,0
94,박서현,2001,23,O,"17,345,000 ",74.4444,228.07,30.7778,10.1852,60.1852,78.3951,10.1852,53.4884,0,0,0
95,박도영,1996,28,A,"16,740,000 ",73.6875,233.52,31.25,10.4167,67.0139,83.3333,10.4167,60,0,0,0
